year,movie,movie_genre,category,oscar_result
2017,Moonlight, Drama,Best Motion Picture of the Year,1
2017,Arrival, Drama: Mystery: Sci-Fi: Thriller,Best Motion Picture of the Year,0
2017,Fences, Drama,Best Motion Picture of the Year,0
2017,Hacksaw Ridge, Biography: Drama: History: War,Best Motion Picture of the Year,0
2017,Hell or High Water, Crime: Drama: Western,Best Motion Picture of the Year,0
2017,Hidden Figures, Biography: Drama: History,Best Motion Picture of the Year,0
2017,La La Land, Comedy: Drama: Music: Musical: Romance,Best Motion Picture of the Year,0
2017,Lion, Biography: Drama,Best Motion Picture of the Year,0
2017,Manchester by the Sea, Drama,Best Motion Picture of the Year,0
2016,Spotlight, Crime: Drama: History,Best Motion Picture of the Year,1
2016,The Revenant, Adventure: Drama: Thriller: Western,Best Motion Picture of the Year,0
2016,Room, Drama,Best Motion Picture of the Year,0
2016,Brooklyn, Drama: Romance,Best Motion Picture of the Year,0
2016,Bridge of Spies, Drama: History: Thriller,Best Motion Picture of the Year,0
2016,The Martian, Adventure: Drama: Sci-Fi,Best Motion Picture of the Year,0
2016,Mad Max: Fury Road, Action: Adventure: Sci-Fi: Thriller,Best Motion Picture of the Year,0
2016,The Big Short, Biography: Comedy: Drama: History,Best Motion Picture of the Year,0
2015,Birdman or (The Unexpected Virtue of Ignorance), Comedy: Drama: Romance,Best Motion Picture of the Year,1
2015,American Sniper, Action: Biography: Drama: History: Thriller: War,Best Motion Picture of the Year,0
2015,Boyhood, Drama,Best Motion Picture of the Year,0
2015,The Imitation Game, Biography: Drama: Thriller: War,Best Motion Picture of the Year,0
2015,The Grand Budapest Hotel, Adventure: Comedy: Drama,Best Motion Picture of the Year,0
2015,Selma, Biography: Drama: History,Best Motion Picture of the Year,0
2015,The Theory of Everything, Biography: Drama: Romance,Best Motion Picture of the Year,0
2015,Whiplash, Drama: Music,Best Motion Picture of the Year,0
2014,12 Years a Slave, Biography: Drama: History,Best Motion Picture of the Year,1
2014,The Wolf of Wall Street, Biography: Comedy: Crime: Drama,Best Motion Picture of the Year,0
2014,American Hustle, Crime: Drama,Best Motion Picture of the Year,0
2014,Nebraska, Adventure: Comedy: Drama,Best Motion Picture of the Year,0
2014,Captain Phillips, Biography: Drama: Thriller,Best Motion Picture of the Year,0
2014,Philomena, Biography: Drama,Best Motion Picture of the Year,0
2014,Dallas Buyers Club, Biography: Drama,Best Motion Picture of the Year,0
2014,Gravity, Adventure: Drama: Sci-Fi: Thriller,Best Motion Picture of the Year,0
2014,Her, Drama: Romance: Sci-Fi,Best Motion Picture of the Year,0
2013,Argo, Biography: Drama: History: Thriller,Best Motion Picture of the Year,1
2013,Amour, Drama: Romance,Best Motion Picture of the Year,0
2013,Beasts of the Southern Wild, Adventure: Drama: Fantasy,Best Motion Picture of the Year,0
2013,Django Unchained, Drama: Western,Best Motion Picture of the Year,0
2013,Les Misérables, Drama: Musical: Romance,Best Motion Picture of the Year,0
2013,Life of Pi, Adventure: Drama: Fantasy,Best Motion Picture of the Year,0
2013,Lincoln, Biography: Drama: History: War,Best Motion Picture of the Year,0
2013,Silver Linings Playbook, Comedy: Drama: Romance,Best Motion Picture of the Year,0
2013,Zero Dark Thirty, Drama: History: Thriller,Best Motion Picture of the Year,0
2012,The Artist, Comedy: Drama: Romance,Best Motion Picture of the Year,1
2012,The Tree of Life, Drama: Fantasy,Best Motion Picture of the Year,0
